o_bor,d_bor,occ_type,count,is_prof
Barnet,Kensington and Chelsea,6_caring_leisure,166,FALSE
Barnet,Kensington and Chelsea,7_sales_customer,263,FALSE
Barnet,Kensington and Chelsea,8_machine_operatives,44,FALSE
Barnet,Kensington and Chelsea,9_elementary,192,FALSE
Barnet,Kingston upon Thames,1_managers_senior,5,TRUE
Barnet,Kingston upon Thames,2_professional,28,TRUE
Barnet,Kingston upon Thames,3_associate_professional,14,TRUE
Barnet,Kingston upon Thames,4_administrative,9,FALSE
Barnet,Kingston upon Thames,5_trade,1,FALSE
Barnet,Kingston upon Thames,6_caring_leisure,7,FALSE
Barnet,Kingston upon Thames,7_sales_customer,10,FALSE
Barnet,Kingston upon Thames,8_machine_operatives,0,FALSE
Barnet,Kingston upon Thames,9_elementary,3,FALSE
Barnet,Lambeth,1_managers_senior,129,TRUE
Barnet,Lambeth,2_professional,472,TRUE
Barnet,Lambeth,3_associate_professional,250,TRUE
Barnet,Lambeth,4_administrative,156,FALSE
Barnet,Lambeth,5_trade,52,FALSE
